Age,Income,CreditScore,LoanAmount,LoanDuration,DebtToIncome,Repaid
59,57019,418,157227,79,2.76,0
54,139114,402,347711,67,2.50,0
58,104466,451,421006,35,4.03,0
44,48181,445,171289,42,3.56,0
50,93948,433,417062,21,4.44,0
57,95398,436,251682,16,2.64,0
43,74729,480,491745,53,6.58,0
35,148064,422,325255,66,2.20,0
48,82944,484,279614,60,3.37,1
42,129706,449,108811,70,0.84,0
30,87639,436,130546,14,1.49,0
46,54571,456,92252,31,1.69,0
25,67559,406,348556,42,5.16,0
20,109565,409,295522,43,2.70,0
21,81322,460,198017,67,2.43,0
46,100740,442,286442,74,2.84,1
59,86688,414,127272,12,1.47,0
36,21371,416,155986,21,7.30,0
36,123226,484,334619,47,2.72,0
18,119199,430,53464,74,0.45,0
63,87436,438,247628,52,2.83,0
54,139169,485,387291,15,2.78,0
47,126555,460,341211,52,2.70,0
36,95249,448,407518,71,4.28,0
37,45050,406,296975,64,6.59,0
61,94693,480,414823,76,4.38,1
38,128420,476,479163,24,3.73,0
48,33711,406,78812,63,2.34,0
30,123466,439,134842,15,1.09,0
28,107060,457,119666,12,1.12,0
20,27597,451,387891,42,14.06,0
52,116291,433,289758,45,2.49,0
42,80244,411,127887,30,1.59,0
35,123469,415,364198,40,2.95,0
49,101667,422,467030,33,4.59,0
30,139033,466,178622,12,1.28,0
59,75220,407,59062,31,0.79,0
44,22993,481,297337,40,12.93,0
40,36234,459,219694,51,6.06,0
58,127260,483,60532,82,0.48,1
37,29420,462,149003,49,5.06,0
30,22919,446,198003,33,8.64,0
51,40359,441,122315,27,3.03,0
28,75141,471,323634,59,4.31,0
32,61724,479,123371,27,2.00,0
63,75507,414,145482,81,1.93,0
33,35481,428,155160,24,4.37,1
55,91621,447,272685,44,2.98,0
59,96157,496,408979,13,4.25,0
22,89266,446,169654,66,1.90,0
41,73375,427,325758,78,4.44,0
35,50184,458,328123,20,6.54,0
34,37324,465,494470,47,13.25,0
19,135819,433,284124,35,2.09,0
52,60912,487,489906,24,8.04,1
30,61234,477,232520,50,3.80,0
19,20026,421,375466,30,18.75,0
57,100979,483,290555,47,2.88,0
53,57475,419,118062,39,2.05,0
30,45832,465,290343,62,6.33,0
51,85396,420,420842,77,4.93,1
23,90133,401,368826,22,4.09,0
20,50654,419,130594,76,2.58,0
36,48911,497,216301,31,4.42,0
49,146423,475,238296,35,1.63,0
28,107622,401,56103,30,0.52,0
52,68253,402,239165,59,3.50,0
63,124023,413,129465,23,1.04,0
33,90729,496,404286,26,4.46,1
28,24848,448,495576,33,19.94,0
57,102549,424,442848,80,4.32,1
33,129707,458,190736,39,1.47,0
37,104731,443,132603,48,1.27,0
61,21177,474,101317,55,4.78,1
37,45381,449,483367,63,10.65,1
37,145003,416,308188,24,2.13,0
55,56533,486,230482,21,4.08,0
48,147140,412,95646,82,0.65,0
28,83506,406,347864,25,4.17,1
55,93943,442,273632,46,2.91,0
40,121353,432,258363,14,2.13,0
63,124962,427,347223,50,2.78,1
24,122014,480,179125,69,1.47,0
64,102599,443,199946,22,1.95,0
60,90342,434,424683,22,4.70,0
37,143676,410,286199,63,1.99,0
60,64154,498,272647,78,4.25,0
57,22703,495,368350,17,16.22,0
43,130031,448,431911,70,3.32,0
23,96749,418,272154,30,2.81,0
30,147038,445,176742,55,1.20,0
48,133633,452,427528,63,3.20,0
58,130378,475,236541,75,1.81,0
26,26503,496,372616,34,14.06,0
28,47404,413,178414,29,3.76,1
59,85775,448,147954,76,1.72,0
28,103834,477,440149,77,4.24,0
46,107824,461,50762,21,0.47,1
35,47536,440,492613,80,10.36,0
63,82140,462,197744,45,2.41,0
37,61495,456,129002,67,2.10,0
32,144990,427,331568,54,2.29,0
37,46423,494,271327,33,5.84,1
25,148564,483,443547,13,2.99,1
34,71120,462,421138,83,5.92,0
55,112289,407,332395,81,2.96,0
64,75908,423,435752,28,5.74,0
54,52485,480,105549,71,2.01,0
18,23658,471,154102,29,6.51,0
62,104083,462,405698,46,3.90,0
24,110372,401,65831,80,0.60,0
49,60436,495,485902,48,8.04,1
31,76404,406,291733,80,3.82,0
31,131843,407,472349,24,3.58,0
29,29483,485,233286,16,7.91,0
45,104093,463,55165,37,0.53,0
38,102038,480,360055,67,3.53,0
60,80240,433,110962,40,1.38,0
47,49213,436,446671,41,9.08,0
57,30155,472,182863,58,6.06,1
46,22649,425,173441,19,7.66,0
26,22777,458,427247,61,18.76,0
30,94249,492,225121,43,2.39,0
61,22798,471,120097,39,5.27,0
56,127165,471,421433,16,3.31,0
56,54504,472,218183,29,4.00,0
52,57296,451,469702,39,8.20,0
41,117245,427,346331,57,2.95,1
63,76994,455,445428,46,5.79,1
63,138647,436,191649,22,1.38,0
40,97239,483,308977,62,3.18,0
33,122166,469,228729,13,1.87,0
29,37834,474,179809,13,4.75,0
28,72177,434,432016,64,5.99,1
40,55769,415,494190,14,8.86,1
25,107337,457,240050,52,2.24,0
19,172167,532,213817,50,1.24,0
31,82917,405,356293,82,4.30,0
31,91496,517,453092,37,4.95,0
59,185313,441,284938,45,1.54,0
36,39478,507,220263,27,5.58,0
44,60514,440,313745,56,5.18,0
31,195362,486,285871,62,1.46,0
48,195726,336,451949,49,2.31,0
30,77727,406,317652,24,4.09,0
64,197054,345,373524,33,1.90,0
44,101082,436,532197,53,5.27,0
27,49178,409,487049,31,9.90,0
49,92927,497,447958,44,4.82,0
62,115434,494,482544,70,4.18,0
45,85582,319,384378,72,4.49,0
25,191180,437,514079,37,2.69,0
36,84078,523,325962,70,3.88,0
47,77181,354,449629,76,5.83,0
43,172104,413,589029,39,3.42,0
29,82453,457,215831,76,2.62,0
21,150917,538,536827,37,3.56,0
32,46709,413,239919,32,5.14,0
29,80725,327,355086,63,4.40,0
48,123791,318,545635,38,4.41,0
52,112828,477,307671,76,2.73,0
32,64848,428,561049,67,8.65,0
36,106355,487,406562,70,3.82,0
44,182049,372,354497,62,1.95,0
24,40935,445,328159,25,8.02,0
49,159778,443,381052,82,2.38,0
23,184365,301,378875,50,2.06,0
49,66607,521,434913,42,6.53,0
54,54697,470,328412,75,6.00,0
57,116089,374,446275,37,3.84,0
24,127294,467,300031,33,2.36,0
61,189239,416,263807,32,1.39,0
37,62248,422,504026,33,8.10,0
56,170261,547,203272,45,1.19,0
45,128589,500,319544,72,2.49,0
25,190850,514,581718,82,3.05,0
61,43651,522,391834,58,8.98,0
20,64444,411,224785,83,3.49,0
24,110837,420,320227,41,2.89,0
55,80451,516,455689,81,5.66,0
49,94821,532,301849,31,3.18,0
30,156879,397,485966,25,3.10,0
52,107819,451,416387,39,3.86,0
32,60582,418,211673,30,3.49,0
57,111753,436,528866,29,4.73,0
23,116416,313,226522,82,1.95,0
49,157504,448,253408,47,1.61,0
56,193380,481,233934,72,1.21,0
53,119182,349,217964,27,1.83,0
50,153151,333,231099,53,1.51,0
63,171795,502,530068,81,3.09,0
23,159945,547,268036,45,1.68,0
53,70912,409,224289,83,3.16,0
55,155742,478,223226,73,1.43,0
27,99166,348,251834,38,2.54,0
27,162237,537,263727,28,1.63,0
28,138243,509,393317,54,2.85,0
51,61311,415,251652,56,4.10,0
29,186726,532,301824,77,1.62,0
23,129218,421,558213,38,4.32,0
37,198655,527,597503,30,3.01,0
54,67007,401,349699,25,5.22,0
50,50676,404,235793,27,4.65,0
18,60085,492,263739,75,4.39,0
48,74511,372,237302,78,3.18,0
56,141116,460,559856,50,3.97,0
29,140603,466,383856,45,2.73,0
20,186468,342,222212,24,1.19,0
50,117425,365,452726,53,3.86,0
31,39007,491,353017,40,9.05,0
34,112469,495,402506,74,3.58,0
56,128664,532,416856,59,3.24,0
39,47923,528,276046,31,5.76,0
31,109325,325,576094,62,5.27,0
57,51699,485,386921,29,7.48,0
53,39083,337,557524,74,14.27,0
51,170715,446,374593,73,2.19,0
36,156217,462,240829,60,1.54,0
54,134849,520,473386,73,3.51,0
33,162097,382,422707,58,2.61,0
41,62640,431,388570,50,6.20,0
23,150375,511,532841,24,3.54,0
61,100373,350,372812,60,3.71,0
52,69757,445,411853,69,5.90,0
26,85361,311,298162,79,3.49,0
35,96724,401,355376,79,3.67,0
59,184540,484,477942,49,2.59,0
41,133212,304,494623,51,3.71,0
45,102196,545,385254,66,3.77,0
38,149963,310,282391,78,1.88,0
48,119360,438,317464,56,2.66,0
44,136848,460,286032,33,2.09,0
38,90832,456,539478,41,5.94,0
59,120148,312,565444,35,4.71,0
50,119501,413,348237,73,2.91,0
34,106156,548,440677,30,4.15,0
19,21374,379,144346,48,6.75,0
55,19270,472,31564,15,1.64,0
63,26914,436,157605,59,5.86,0
37,34788,303,106150,32,3.05,0
30,21646,336,92498,16,4.27,0
32,15875,491,96065,26,6.05,0
63,21524,488,122194,31,5.68,0
27,22489,313,195380,44,8.69,0
37,24061,483,101444,45,4.22,0
45,19020,364,184293,33,9.69,0
59,20002,354,197014,51,9.85,0
54,31144,458,165810,59,5.32,0
59,24091,358,197380,19,8.19,0
54,24077,315,142176,43,5.91,0
40,20179,400,130364,22,6.46,0
53,15438,477,164017,48,10.62,0
46,28946,338,136106,59,4.70,0
23,30817,395,157377,25,5.11,0
45,15752,340,99760,14,6.33,0
28,22406,477,35271,20,1.57,0
44,21329,475,143325,54,6.72,0
22,20792,326,155254,59,7.47,0
18,33666,497,38729,25,1.15,0
55,15606,478,167652,16,10.74,0
51,31783,353,36303,29,1.14,0
25,32450,499,80405,43,2.48,0
54,33098,491,62002,51,1.87,0
60,30669,388,85155,40,2.78,0
50,15646,366,195216,17,12.48,0
50,18536,308,110579,24,5.97,0
22,20242,364,58990,27,2.91,0
43,15325,326,119247,42,7.78,0
32,33537,431,174968,37,5.22,0
37,25370,472,157696,40,6.22,0
45,18891,406,132021,36,6.99,0
64,15259,340,178966,35,11.73,0
55,20264,403,57432,29,2.83,0
23,15547,337,90832,15,5.84,0
53,22907,347,184097,38,8.04,0
26,19518,487,114663,53,5.87,0
45,24927,441,81952,47,3.29,0
19,27294,308,67306,36,2.47,0
35,27278,312,130074,57,4.77,0
51,25577,346,126503,46,4.95,0
35,17639,468,150510,28,8.53,0
46,28303,337,132353,21,4.68,0
63,30281,489,161516,47,5.33,0
31,17246,473,115170,44,6.68,0
48,28052,366,126764,39,4.52,0
48,26929,383,96413,52,3.58,0
38,26294,390,183513,46,6.98,0
43,24025,331,175127,55,7.29,0
49,30240,408,96081,38,3.18,0
42,21494,417,38592,28,1.80,0
33,25704,415,83703,17,3.26,0
19,16675,436,70785,26,4.24,0
46,24241,428,165279,38,6.82,0
38,19549,396,75001,15,3.84,0
31,16655,496,46653,54,2.80,0
44,27369,317,125819,17,4.60,0
25,28718,495,142838,50,4.97,0
55,32650,455,142253,27,4.36,0
33,26398,326,97228,48,3.68,0
44,19929,311,141457,45,7.10,0
43,27858,467,149764,33,5.38,0
43,33960,433,139766,36,4.12,0
61,31825,429,53698,34,1.69,0
21,18475,468,71460,22,3.87,0
53,22714,315,184749,24,8.13,0
52,21043,429,84851,45,4.03,0
64,19627,382,105431,55,5.37,0
62,30967,455,96609,59,3.12,0
24,29048,422,35163,21,1.21,0
29,24855,421,102474,43,4.12,0
39,32948,473,130345,52,3.96,0
33,34420,445,174536,29,5.07,0
58,15996,329,58606,40,3.66,0
26,17901,355,193804,16,10.83,0
26,26000,316,87970,21,3.38,0
47,20523,336,194769,27,9.49,0
54,17973,499,38502,40,2.14,0
57,31231,301,35544,50,1.14,0
45,30593,311,39868,52,1.30,0
25,27027,352,97933,47,3.62,0
42,34230,496,174977,18,5.11,0
29,19896,427,70200,42,3.53,0
29,17822,337,76202,40,4.28,0
46,18162,447,75550,42,4.16,0
22,33150,400,44433,21,1.34,0
54,27032,328,54212,32,2.01,0
39,22140,496,161845,40,7.31,0
49,29973,360,128178,57,4.28,0
54,28688,415,128710,14,4.49,0
54,31747,483,134161,20,4.23,0
28,22460,471,170586,40,7.60,0
62,17414,406,174259,13,10.01,0
22,25325,402,34338,39,1.36,0
61,30294,407,172285,32,5.69,0
27,31987,429,86589,54,2.71,0
63,29322,350,127780,46,4.36,0
39,106647,524,239450,18,2.25,0
32,93495,558,234114,14,2.50,1
34,73281,613,205472,15,2.80,1
59,137353,582,189953,37,1.38,1
32,81663,549,109209,23,1.34,1
48,54220,587,285655,34,5.27,0
31,44675,580,97906,30,2.19,0
33,47524,602,166565,18,3.50,0
42,149321,569,23581,51,0.16,1
34,53308,538,120660,40,2.26,1
40,115625,515,137190,40,1.19,1
18,147973,524,57672,27,0.39,1
49,148230,584,65553,45,0.44,0
59,98465,522,65152,33,0.66,1
25,75326,613,168925,29,2.24,0
43,60923,510,45986,21,0.75,0
28,139433,592,34478,32,0.25,0
37,54306,587,126252,53,2.32,1
32,73805,624,226575,19,3.07,0
31,103759,546,81491,34,0.79,0
44,109245,528,261879,21,2.40,0
64,78299,545,55519,26,0.71,0
32,107605,628,132859,23,1.23,1
59,43000,624,45538,21,1.06,0
63,113580,518,89104,49,0.78,1
27,101622,636,255786,22,2.52,1
55,83926,554,244441,43,2.91,0
54,93685,566,132121,28,1.41,0
29,68523,583,151731,23,2.21,0
63,79438,524,158352,21,1.99,1
28,74540,611,241925,14,3.25,1
23,33877,519,30307,54,0.89,1
39,72698,628,107276,23,1.48,0
26,139904,526,172987,12,1.24,1
59,98742,621,204817,34,2.07,0
35,42447,628,238594,22,5.62,0
34,84645,569,218180,58,2.58,1
33,44252,544,246835,50,5.58,0
26,60849,610,254504,19,4.18,0
44,74697,643,25176,51,0.34,1
27,131321,629,121887,39,0.93,1
31,95513,555,263955,17,2.76,0
33,87694,549,116693,18,1.33,1
28,131044,516,290063,34,2.21,1
44,37285,635,264243,39,7.09,1
18,147464,559,199731,28,1.35,0
33,89731,550,233623,16,2.60,1
40,68466,556,189822,24,2.77,0
24,101618,534,259664,23,2.56,1
29,36838,560,67984,47,1.85,0
41,119522,648,291599,27,2.44,0
41,132812,532,201846,41,1.52,0
20,123777,627,57987,31,0.47,0
41,54534,606,130123,48,2.39,0
22,89654,501,68148,45,0.76,1
54,131471,607,289069,49,2.20,1
64,78939,528,74780,35,0.95,0
25,129452,633,211163,40,1.63,0
21,38769,614,57893,40,1.49,0
31,102834,538,207992,23,2.02,1
61,34858,618,257461,29,7.39,1
19,106652,613,292674,40,2.74,0
48,47827,582,118290,16,2.47,0
18,148108,529,38607,27,0.26,1
62,131160,573,86197,16,0.66,0
49,72374,582,39057,34,0.54,1
31,145159,590,55796,29,0.38,0
43,51037,517,199652,55,3.91,1
51,112016,596,205391,49,1.83,1
21,76001,612,186976,20,2.46,1
50,121935,636,284177,50,2.33,1
26,45064,564,144930,33,3.22,0
32,53233,647,121079,18,2.27,1
28,51274,526,75890,50,1.48,0
58,140487,609,224864,41,1.60,1
22,80997,546,234956,39,2.90,0
21,56761,528,271150,18,4.78,0
58,93657,577,262381,45,2.80,0
22,43503,519,206455,31,4.75,1
64,88019,582,72863,31,0.83,1
52,113565,627,97400,22,0.86,1
58,75842,592,220762,15,2.91,1
63,68613,601,266074,27,3.88,1
62,52790,628,167473,48,3.17,0
51,107387,535,111952,51,1.04,1
58,148440,573,106338,29,0.72,0
34,136170,622,235897,43,1.73,0
36,97428,502,140641,39,1.44,0
26,111109,526,109088,14,0.98,0
54,149856,637,67432,12,0.45,1
40,93870,594,153728,31,1.64,1
35,135082,553,22058,55,0.16,1
60,117327,514,188569,52,1.61,0
39,49703,525,257939,12,5.19,0
34,105410,602,78819,47,0.75,0
31,126562,572,198779,52,1.57,0
27,66453,634,53163,29,0.80,0
52,66648,648,229695,45,3.45,1
43,66100,607,257604,42,3.90,0
54,93951,562,68636,39,0.73,0
47,79740,515,246527,23,3.09,0
44,36792,562,68410,59,1.86,0
49,93522,506,99627,42,1.07,0
64,73245,548,75614,58,1.03,0
55,78609,554,150576,51,1.92,0
48,147158,542,64923,20,0.44,1
56,84014,593,297830,39,3.55,0
43,78364,598,157147,49,2.01,0
28,127033,535,20631,17,0.16,0
50,80936,619,122135,27,1.51,1
43,95047,521,207064,26,2.18,0
39,69319,538,292493,51,4.22,0
36,115587,647,195114,38,1.69,0
47,115539,547,105561,48,0.91,0
46,85660,549,175017,25,2.04,1
36,146038,602,97509,13,0.67,0
33,46904,638,54571,48,1.16,1
34,107919,503,31774,54,0.29,1
43,136274,605,81505,33,0.60,1
51,63607,584,193271,20,3.04,0
63,119776,551,180929,51,1.51,1
44,70774,531,96808,46,1.37,1
35,74097,596,146747,19,1.98,0
36,72163,528,163362,48,2.26,0
53,51444,554,269379,47,5.24,0
35,71918,573,160842,45,2.24,0
30,64566,555,128731,16,1.99,0
59,68691,523,130692,13,1.90,1
28,76045,635,156747,16,2.06,0
36,39464,545,113018,23,2.86,0
33,90472,584,117840,21,1.30,0
42,143915,512,112887,59,0.78,1
43,86691,582,180241,57,2.08,0
62,84035,625,30335,36,0.36,0
21,118636,511,20887,17,0.18,0
62,75411,630,249881,54,3.31,0
31,45113,641,67583,19,1.50,0
61,38346,604,96500,37,2.52,0
64,59758,603,196083,14,3.28,0
45,63277,594,178055,28,2.81,0
27,112516,647,223283,27,1.98,0
30,65707,535,194916,49,2.97,1
26,80178,553,241555,19,3.01,0
35,142217,544,83973,46,0.59,1
46,124335,624,169035,22,1.36,0
49,31892,511,138705,12,4.35,0
28,36927,555,152360,59,4.13,0
50,134522,557,260234,51,1.93,1
47,148399,533,223507,35,1.51,0
58,46639,583,123196,29,2.64,0
40,80064,659,191286,52,2.39,1
40,187402,694,138093,16,0.74,1
49,106073,731,175974,14,1.66,1
52,79618,708,60127,43,0.76,1
42,45182,717,101072,55,2.24,1
22,70835,699,167533,58,2.37,1
63,116760,666,189709,38,1.62,1
52,144434,702,63884,26,0.44,1
30,146005,701,141943,19,0.97,1
51,71217,682,37676,47,0.53,1
35,77442,706,32829,54,0.42,1
61,194376,663,178419,32,0.92,1
38,125002,670,81918,24,0.66,0
60,87762,694,184748,36,2.11,1
42,78663,699,247256,38,3.14,1
34,144102,668,52235,42,0.36,1
62,154749,741,61227,14,0.40,1
61,156864,710,89483,19,0.57,1
32,157614,684,142604,13,0.90,0
18,78719,693,201849,54,2.56,1
19,134759,726,93490,54,0.69,0
18,70404,683,248162,55,3.52,0
21,110052,661,16331,49,0.15,1
29,50828,729,68256,48,1.34,0
48,112388,734,123534,17,1.10,1
44,62587,667,64099,19,1.02,1
41,82654,737,167531,26,2.03,1
18,190784,674,78429,26,0.41,1
36,169281,650,221111,34,1.31,0
30,48091,729,25495,33,0.53,1
54,91703,720,45438,47,0.50,1
47,160376,746,59167,33,0.37,0
22,185155,653,154409,38,0.83,0
57,64542,718,55016,49,0.85,1
26,47006,686,151344,14,3.22,1
61,171608,688,180570,12,1.05,1
44,154684,742,144993,30,0.94,1
53,116438,732,237359,44,2.04,1
35,147556,695,219459,47,1.49,0
56,174657,686,153868,16,0.88,1
49,182356,672,193803,17,1.06,1
55,89797,662,190456,14,2.12,1
58,160724,691,84492,45,0.53,1
22,114026,715,103980,49,0.91,1
30,148408,660,33917,25,0.23,1
62,141289,739,93675,23,0.66,0
25,107724,691,204899,41,1.90,1
56,157234,742,166836,59,1.06,1
59,132052,719,168732,58,1.28,1
49,103029,694,35694,16,0.35,1
20,127582,725,122683,19,0.96,1
47,118913,732,108053,54,0.91,1
18,115603,743,74669,15,0.65,1
26,161933,738,182871,53,1.13,1
54,138121,715,10406,20,0.08,1
22,65544,658,198948,59,3.04,0
40,190941,655,214807,22,1.12,1
36,97848,662,196318,17,2.01,1
62,143485,746,89042,41,0.62,1
23,117897,683,188229,17,1.60,1
22,62532,739,63885,24,1.02,1
27,93655,689,116109,51,1.24,1
51,198534,706,141228,59,0.71,1
34,146087,669,183027,12,1.25,1
38,176360,724,234648,47,1.33,1
61,92685,688,136987,45,1.48,1
32,174853,716,29169,51,0.17,0
29,108343,710,83165,25,0.77,1
23,74782,705,96706,54,1.29,1
63,97028,735,79603,31,0.82,1
45,123408,693,104902,36,0.85,1
28,184367,689,39472,32,0.21,1
19,73677,736,56544,42,0.77,1
